pt_graph abundance
10855 0.02222222
10856 0.00046083
10856 0.00046083
10856 0.0041625
10856 0.02222222
10857 0
10857 0
10857 0.03596404
10857 0.02222222
10858 0
10858 0
10858 0.03596404
10858 0.02222222
10859 0
10859 0
10859 0.03596404
10859 0.02222222
10860 0
10860 0
10860 0.03596404
10860 0.02222222
10861 0
10861 0
10861 0.03596404
10861 0.02222222
10862 0
10862 0
10862 0.03596404
10862 0.02222222
10863 0
10863 0
10863 0.03596404
10863 0.02222222
10864 0
10864 0
10864 0.0041625
10864 0.00545455
10865 0
10865 0
10865 0.0041625
10865 0.00545455
10866 0
10866 0
10866 0.0041625
10866 0.00545455
10867 0
10867 0
10867 0.0041625
10867 0.0030303
10868 0
10868 0
10868 0.00075139
10868 0.0030303
10869 0
10869 0
10869 0.00075139
10869 0.00087719
10870 0
10870 0
10870 0.00028584
10870 0.00087719
10871 0
10871 0
10871 0.00028584
10871 0
10872 0
10872 0
10872 0.00028584
10872 0
10873 0
10873 0
10873 0.00028584
10873 0
10874 0
10874 0
10874 0.00014043
10874 0
10875 0
10875 0
10875 0.00014043
10875 0
10876 0
10876 0
10876 0.00001311
10876 0
10877 0
10877 0
10877 0.00001311
10877 0
10878 0
10878 0
10878 0.00001311
10878 0
10971 0.00046083
10971 0.00046083
10971 0.00014043
10971 0.00087719
10972 0.00046083
10972 0.00046083
10972 0.00028584
10972 0.00087719
10973 0.00046083
10973 0.00046083
10973 0.00028584
10973 0.00087719
10974 0.00046083
10974 0.00046083
10974 0.00075139
10974 0.0030303
10975 0.00046083
10975 0.00046083
10975 0.0041625
10975 0.00545455
10976 0.00046083
10976 0.00046083
10976 0.0041625
10976 0.00545455
10977 0.00046083
10977 0.00046083
10977 0.0041625
10977 0.00545455
10978 0
10978 0
10978 0.0041625
10978 0.00545455
10979 0
10979 0
10979 0.0041625
10979 0.00545455
10980 0
10980 0
10980 0.0041625
10980 0.00545455
10981 0
10981 0
10981 0.0041625
10981 0.00545455
10982 0
10982 0
10982 0.0041625
10982 0.00545455
10983 0
10983 0
10983 0.0041625
10983 0.00545455
10984 0
10984 0
10984 0.0041625
10984 0.00545455
10985 0
10985 0
10985 0.0041625
10985 0.00545455
10986 0
10986 0
10986 0.0041625
10986 0.00545455
10987 0
10987 0
10987 0.0041625
10987 0.0030303
10988 0
10988 0
10988 0.00075139
10988 0.0030303
10989 0
10989 0
10989 0.00075139
10989 0.00087719
10990 0
10990 0
10990 0.00075139
10990 0.00087719
10991 0
10991 0
10991 0.00028584
10991 0
10992 0
10992 0
10992 0.00028584
10992 0
10993 0
10993 0
10993 0.00028584
10993 0
10994 0
10994 0
10994 0.00014043
10994 0
10995 0
10995 0
10995 0.00014043
10995 0
10996 0
10996 0
10996 0.00014043
10996 0
10997 0
10997 0
10997 0.00001311
10997 0
10998 0
10998 0
10998 0.00001311
10998 0
10999 0
10999 0
10999 0.00001311
10999 0
11097 0.00046083
11097 0.00046083
11097 0.00001311
11097 0
