port_name;lon;lat;idx_port
DKORQ;11.8023;55.7568000009;263
DKQSH;10.2712;56.8036000009;264
DKQSB;11.1276;57.3188000009;265
DKOES;10.9461;55.1227000009;266
DKQSV;12.032834;55.7355030009;267
DKOVE;8.414154;56.8651150009;268
DKPED;14.9922;55.0311000009;269
DKPRS;12.0435;55.1224000009;270
DKRAN;10.0358;56.4594000009;271
DKRAF;9.692;55.6195000009;272
DKREE;11.1144;55.5208000009;273
DKREF;10.4868;55.1252000009;274
DKREM;8.4909;56.5493000009;275
DKRIS;10.6342;54.8248000009;276
DKRDS;9.5438;57.2069000009;277
DKRQD;12.3776;55.2559000009;278
DKRNB;8.9415;56.5387000009;279
DKRNN;14.6976;55.0993000009;280
DKRNH;10.534728;57.4648780009;281
DKRKE;12.0909;55.6405000009;282
DKRNS;10.8727;55.7427000009;283
DKRKB;10.7163;54.9353000009;284
DKRUG;12.5327;55.8842000009;285
DKREY;9.7593;56.0919000009;286
DKRYD;12.1425;54.5429000009;287
DKSAE;10.5197;57.3342000009;288
DKSAV;11.182709;55.7232430009;289
DKSAG;9.5673;54.8820000009;290
DKSVG;14.7791;55.2872000009;291
DKSJG;12.1237;55.0600000009;292
DKSEB;9.5664;56.9617000009;293
DKSEO;11.1373;55.8811000009;294
DKSVD;11.316605;55.2005250009;295
DKSID;11.6655;55.8253000009;296
DKSIL;8.7302;56.6820000009;297
DKSJD;11.8474;55.5455000009;298
DKSSK;11.2887;55.2558000009;299
DKSKB;9.6336;55.5146000009;300
DKSKA;10.5958;57.7247000009;301
DKSBO;9.929042;56.0401510009;302
DKSKX;10.7182;55.0629000009;303
DKSKY;11.9594;55.7503000009;304
DKSKV;9.0524;56.5662000009;305
DKSIS;10.274625;57.6218510009;306
DKSSB;12.5745;55.8212000009;307
DKSSD;10.377;56.1816000009;308
DKSVH;12.599;55.7607000009;309
DKSST;9.4401;55.2899000009;310
DKSKU;12.5997;55.7161000009;311
DKSDV;12.0508;55.7909000009;312
DKSLT;12.535;55.9541000009;313
DKSLS;9.3636;57.1489000009;314
DKSNA;10.0468;55.8203000009;315
DKSNE;12.5851;56.0077000009;316
DKSNG;15.1096;55.0267000009;317
DKSNH;9.7145;55.5219000009;318
DKSOB;10.2594;54.9411000009;319
DKSQM;14.9867;55.0065000009;320
DKSQA;9.8665;55.3616000009;321
DKSGD;9.7899;54.9100000009;322
DKSNK;9.6705;55.5272000009;323
DKSRS;11.5059;54.7478000009;324
DKSOO;11.3293;55.2594000009;325
DKSOR;11.9688;54.9173000009;326
DKSPB;10.8298;54.9325000009;327
DKSTF;11.8938;54.6537000009;328
DKSTC;12.1408;55.0846000009;329
DKSTE;12.2875;54.9855000009;330
DKSRG;8.3642;56.9185000009;331
DKSTI;10.4108;55.4372000009;332
DKSSS;10.0163;56.0371000009;333
DKSTJ;10.6092;54.9593000009;334
